district,year,month,threshold,area,NDVI_mean,NDVI_min,NDVI_max,EVI_mean,EVI_min,EVI_max,GNDVI_mean,GNDVI_min,GNDVI_max,SAVI_mean,SAVI_min,SAVI_max,NDMI_mean,NDMI_min,NDMI_max,BSI_mean,BSI_min,BSI_max,BUAI_mean,BUAI_min,BUAI_max,NDBI_mean,NDBI_min,NDBI_max,NBR_mean,NBR_min,NBR_max,NDSI_mean,NDSI_min,NDSI_max,LCCI_mean,LCCI_min,LCCI_max,NDWI_mean,NDWI_min,NDWI_max,TVI_mean,TVI_min,TVI_max,MSAVI_mean,MSAVI_min,MSAVI_max,NDRE_mean,NDRE_min,NDRE_max,PSRI_mean,PSRI_min,PSRI_max,WDRVI_mean,WDRVI_min,WDRVI_max,MCARI_mean,MCARI_min,MCARI_max,ARVI_mean,ARVI_min,ARVI_max,NDTI_mean,NDTI_min,NDTI_max,CCCI_mean,CCCI_min,CCCI_max,PRI_mean,PRI_min,PRI_max,avg_yield,yield
attock,2017,11,0.198570902,274017.5893,0.166145777,0.000281928,0.692249715,0.147517913,0.000303509,0.922510958,0.20894874,-0.133008778,0.59198904,0.141862729,0.000241918,0.637476331,-0.060184856,-0.36977908,0.530976117,0.042450364,-0.42862024,0.239817426,1.145703891,0.306741985,2.547036394,0.060184856,-0.530976117,0.36977908,0.040313363,-0.397657484,0.756761134,-0.265976567,-0.501155198,0.557764649,0.442608303,0.000564016,4.780267671,-0.060184856,-0.36977908,0.530976117,2.95119956,-0.634,23.084,0.089237097,0.000147639,0.532941844,0.117975889,-0.197926357,0.564202607,0.067058379,-0.431999848,0.227273688,-0.74966646,-0.818088597,-0.277913108,0.153902952,-0.020106,1.140648,0.173715906,-0.161221772,0.627809943,0.10248395,-0.199770018,0.435906202,0.709142127,-278.7963257,47.50451279,0.016565734,-0.372807918,0.190523366,14.7,161122.3425084
attock,2017,12,0.177524239,274017.5893,0.202533979,0.000376557,0.685082078,0.188060633,0.000291155,0.909599919,0.218567101,-0.178353652,0.597542644,0.172264738,0.000300897,0.62482021,-0.014594668,-0.855103076,0.637984812,-0.00307261,-0.453744493,0.760208299,1.046352331,0.22101252,12.80291508,0.014594668,-0.637984812,0.855103076,0.11064864,-0.889737844,0.766774654,-0.232592579,-0.897797167,0.497425348,0.557129899,0.000753398,4.382973422,-0.014594668,-0.855103076,0.637984812,3.965456792,-1.174,22.772,0.107711307,0.000158036,0.515942682,0.146782742,-0.252051592,0.55918467,0.027312569,-0.457627119,0.249772934,-0.732421354,-0.818057298,-0.301265919,0.200944976,-0.041724,1.123992,0.188639371,-0.209711176,0.617016039,0.127576565,-0.613930583,0.636479616,0.723702024,-250.4871063,68.94611359,-0.02791345,-0.375914837,0.191645628,14.7,161122.3425084
attock,2017,13,0.168692876,274017.5893,0.185997297,0.000141343,0.683229804,0.202530553,0.000275376,0.946402704,0.160474158,-0.132761225,0.57054162,0.156950622,0.000136223,0.615105301,0.127986176,-0.28144905,0.617568791,-0.117257023,-0.476916901,0.172249374,0.797189028,0.236423478,1.783379501,-0.127986176,-0.617568791,0.28144905,0.300689274,-0.222987518,0.824109197,-0.03307645,-0.361702114,0.590319812,0.549914803,0.000282725,4.31372549,0.127986176,-0.28144905,0.617568791,4.023304687,-2.586,21.138,0.098544093,0.000117131,0.48566457,0.137279017,-0.173865497,0.567121029,-0.029575167,-0.377245509,0.161394448,-0.735269421,-0.818135088,-0.306017926,0.199486595,-0.099204,1.03908,0.134609525,-0.153694581,0.596381428,0.189320382,-0.043270666,0.437325895,0.695516255,-264.6070862,214.9099579,-0.101615761,-0.335280374,0.110867713,14.7,161122.3425084
attock,2017,14,0.339242228,274017.5893,0.381621941,6.15e-05,0.784976482,0.374637656,0.000147702,1.0,0.317831967,-0.146115467,0.671899378,0.320365284,6.37e-05,0.717723691,0.190951123,-0.475749135,0.705697775,-0.177758885,-0.508985505,0.386551071,0.69993118,0.172566171,4.151309353,-0.190951123,-0.705697775,0.475749135,0.406081282,-0.464343876,0.815516293,-0.137578019,-0.585970938,0.64319545,1.507822344,0.000122941,7.357185768,0.190951123,-0.475749135,0.705697775,8.10648396,-5.598,27.83,0.202731337,7.61e-05,0.611066103,0.283820385,-0.476590246,0.667313695,-0.062697931,-0.457302646,0.388545529,-0.609839091,-0.818161498,-0.091651498,0.39894941,-0.20736,1.297956,0.314248452,-0.173508106,0.704060964,0.24396006,-0.38446641,0.74408412,0.716165241,-718.5076294,279.4889526,-0.150554885,-0.413080895,0.275180189,14.7,161122.3425084
attock,2017,15,0.313735307,274017.5893,0.436740522,0.043245655,0.738016665,0.425130055,0.042907064,0.922261484,0.390949754,0.057876624,0.630735636,0.381177681,0.038899016,0.683029342,0.180609314,-0.663769662,0.488193512,-0.145800691,-0.424228878,0.584629201,0.705028384,0.343911249,4.948303716,-0.180609314,-0.488193512,0.663769662,0.383996347,-0.63277173,0.71710223,-0.226665294,-0.853443086,0.197649658,1.664068507,0.090400746,5.634074074,0.180609314,-0.663769662,0.488193512,10.6133344,0.076,24.99,0.262025541,0.026901885,0.586138692,0.332337008,-0.068602428,0.621324956,-0.042437852,-0.200197239,0.188067445,-0.583458817,-0.803361345,-0.202351265,0.525332806,0.017154,1.233,0.407053741,0.061960195,0.67793911,0.22368723,-0.267796606,0.37847054,0.756481515,-5.305856705,2.848455906,-0.073030556,-0.252380952,0.170978928,14.7,161122.3425084
attock,2017,16,0.290467528,274017.5893,0.326794003,0.009463723,0.826802671,0.274098178,0.005737041,0.999912365,0.338642014,-0.096525095,0.683707118,0.280549336,0.007466063,0.771452421,0.050205821,-0.273555696,0.708786607,-0.028080737,-0.629953539,0.202593535,0.922814663,0.170421156,1.753136531,-0.050205821,-0.708786607,0.273555696,0.211930534,-0.211699128,0.864499629,-0.294785409,-0.614934087,0.327766448,1.127953052,0.01910828,9.547520661,0.050205821,-0.273555696,0.708786607,6.864226046,-1.816,29.892,0.183682703,0.003052208,0.699195888,0.219738709,-0.160243407,0.642007053,0.024704009,-0.419312169,0.343711844,-0.655491383,-0.815028902,0.026646556,0.345742647,-0.041256,1.472028,0.335206021,-0.105504587,0.767506275,0.167861012,-0.149715737,0.418729812,0.668696841,-24.69006348,16.57481003,0.015440744,-0.299065421,0.274397245,14.7,161122.3425084
attock,2017,17,0.280467528,274017.5893,0.153126845,0.000719424,0.717408895,0.134764839,0.000615006,0.987274362,0.22495309,-0.10606686,0.595676541,0.135012195,0.000582011,0.656296296,-0.093757822,-0.299711108,0.505926728,0.095084573,-0.405062681,0.258796367,1.216972612,0.328989129,2.748014022,0.093757822,-0.505926728,0.299711108,0.01568342,-0.583228946,0.705736697,-0.312864078,-0.568770826,0.255583137,0.406395699,0.001439885,5.077363897,-0.093757822,-0.299711108,0.505926728,2.682145201,-2.459,25.597,0.091704848,0.000313017,0.563497917,0.114013155,-0.130698591,0.583089292,0.109710853,-0.309321878,0.292794279,-0.75524037,-0.817943852,-0.243985029,0.14631386,-0.075408,1.261656,0.197753445,-0.054300817,0.659624413,0.110168007,-0.407484412,0.378678918,0.769256851,-43.405159,66.28089905,0.096864809,-0.224615385,0.253696805,14.7,161122.3425084
attock,2018,11,0.271313533,330002.8475,0.140806074,0.000285959,0.542551398,0.133270189,0.000359609,0.69502442,0.152147429,-0.164606377,0.453573614,0.119083989,0.000244608,0.492834543,-0.028182773,-0.358200282,0.595863163,-0.000286147,-0.4068343,0.205589321,1.078357649,0.253240279,2.692858131,0.028182773,-0.595863163,0.358200282,0.094541119,-0.330869585,0.725334764,-0.179736732,-0.408988208,0.602584839,0.396323737,0.000572082,3.785063613,-0.028182773,-0.358200282,0.595863163,2.691755459,-0.636125,17.51366667,0.073549592,0.000148186,0.40956197,0.106937416,-0.27640444,0.458458215,0.02132041,-0.419003115,0.194430161,-0.758118229,-0.818087264,-0.398991769,0.136487975,-0.0139725,0.863048,0.123067823,-0.168265842,0.484405831,0.126483997,-0.062183529,0.415631592,0.815332724,-232.6630859,246.9156494,-0.035515916,-0.317319848,0.133054735,16.0,211201.82239999998
attock,2018,12,0.228489585,330002.8475,0.294396363,0.000362188,0.749283075,0.272633511,0.000282853,0.943097741,0.284176291,-0.198924735,0.696728826,0.250014012,0.000292475,0.6900599,0.048300703,-0.492928565,0.651906908,-0.052831461,-0.498886854,0.365796816,0.932040471,0.21128336,2.964820085,-0.048300703,-0.651906908,0.492928565,0.19684316,-0.543247163,0.813085079,-0.239954033,-0.669427574,0.659330785,0.96036578,0.000724638,5.977124183,0.048300703,-0.492928565,0.651906908,6.144580748,-0.506,26.546,0.158843732,0.000156734,0.588667644,0.217229378,-0.295091659,0.619378388,-0.004708727,-0.511538462,0.236475995,-0.677407635,-0.818062051,-0.178055823,0.30666842,-0.012474,1.335396,0.268167291,-0.212043011,0.677694375,0.156172702,-0.18933399,0.472223014,0.735223848,-114.0433884,37.72430801,-0.057438551,-0.401912204,0.183047791,16.0,211201.82239999998
attock,2018,13,0.227772697,330002.8475,0.391684531,0.000390168,0.723849058,0.400421056,0.000369222,0.933434699,0.344037711,-0.147250146,0.619823337,0.336463341,0.000308729,0.661633008,0.152264686,-0.320787042,0.587143958,-0.141653447,-0.464585984,0.220866791,0.754633688,0.263427911,2.401923579,-0.152264686,-0.587143958,0.320787042,0.336873334,-0.311612338,0.783258498,-0.203093658,-0.558541656,0.597039521,1.442241805,0.00078064,5.590612456,0.152264686,-0.320787042,0.587143958,8.953236808,0.37,23.1308,0.222182894,0.000159205,0.549873117,0.294581511,-0.148083359,0.617999136,-0.0467829,-0.462991161,0.200530193,-0.613436247,-0.818052796,-0.216524556,0.442426251,0.014496,1.1410344,0.338858718,-0.170684727,0.643882973,0.202660593,-0.062420134,0.423921287,0.748018876,-81.30362701,5.718455315,-0.118614851,-0.385103507,0.148177402,16.0,211201.82239999998
